"","fno","country","year","season","lat","long","pc","cem","ast","nplsqm","ccd","vartype","fym","n","p","k","mf","wcp","iu","hu","fu","cs","ldg","yield","dscum","wecum","ntmax","npmax","nltmax","nlhmax","waa","wba","dhx","whx","ssx","wma","lfa","lma","rha","thrx","pmx","defa","bphx","wbpx","awx","rbx","rbbx","glhx","stbx","rbpx","hbx","bbx","blba","lba","bsa","blsa","nbsa","rsa","lsa","shbx","shrx","srx","fsmx","nbx","dpx","rtdx","rsdx","gsdx","rtx"
"73","73","THA","2010","WS",15.0106,100.0053,1,"2","0",NA,115,2,0,193.8,62.5,0,256.3,"2",4,2,0,"2",60,3.15,"1","0",9.1,9.5,4.7,4.7,233.33,0,27.9,0,0,0,639.93,0,0,0,0,0,134,0,0,0,0,0,0,NA,0,0,0,0,404.85,0,607.37,0,0,0,28.61,0,0,0,0,0,0,0,0
"74","74","THA","2010","WS",14.8792,100.0777,1,"2","0",NA,99,2,0,114.4,125,0,239.4,"2",2,1,0,"3",60,3.48,"2","0",8,0,4.2,4.2,126.67,0,3.61,0,0,0,1447.09,0,0,0,0,0,146,0,0,0,0,2,0,NA,0,0,0,0,394.73,0,336.53,0,0,0,0,0,0,0,0,0,0,0,0
"75","75","THA","2010","WS",14.8792,100.0777,1,"2","0",NA,95,2,0,118.8,78.1,56.3,253.1,"2",1,2,0,"3",60,4.33,"2","0",11.8,11.1,4.1,4.1,116.67,58.33,3.61,0,0,0,467.9,0,0,0,0,0,43,0,0,0,0,2,0,NA,0,0,0,0,247.95,0,893.26,0,0,8.5,3.44,0,0,0,0,0,0,0,0
"76","76","THA","2010","WS",14.8792,100.0777,1,"2","0",NA,112,2,0,112.5,25,31.3,168.8,"2",4,2,2,"3",60,4.57,"1","0",8.6,4.7,4.1,4.1,58.33,175,9.62,0,0,0,142.76,0,0,0,0,0,597,0,0,0,0,0,0,NA,0,0,0,0,443.08,0,738.98,0,0,35.1,8.04,0,0,0,0,0,0,0,0
"77","77","THA","2010","WS",14.8792,100.0777,1,"2","0",NA,117,2,0,83.9,40.6,25.6,150.2,"2",4,2,2,"3",60,5.7,"1","0",10.7,10.7,4.9,4.9,116.67,58.33,3.1,0,0,0,285.44,0,0,0,0,0,83,0,0,0,0,1,0,NA,0,0,0,0,253.73,0,511.17,0,0,0,15.52,0,0,0,0,0,0,0,0
"78","78","THA","2010","WS",14.8792,100.0777,1,"2","0",NA,114,2,0,71.1,18.8,0,89.8,"2",4,2,2,"3",60,5,"1","0",8.8,8.7,4,4,175,175,1.43,0,0,0,16.19,0,0,0,0,0,88,0,0,0,0,0,0,NA,0,0,0,0,241.24,0,580.32,0,0,9.46,0,2.22,0,0,0,0,0,0,0
"79","79","THA","2010","WS",14.8792,100.0777,1,"2","0",NA,116,2,0,196.9,156.3,0,353.1,"2",4,2,2,"3",60,5,"2","0",10.2,9.9,4,4,116.67,0,6.25,0,0,0,21.88,0,0,0,0,0,73,0,0,0,0,0,0,NA,0,0,0,0,390.31,0,610.26,0,0,0,0,6.06,0,0,0,0,0,0,0
"80","80","THA","2010","WS",14.8792,100.0777,1,"2","0",NA,112,2,0,51.8,0,0,51.8,"2",4,2,2,"3",60,7.1,"2","0",11,10,4.6,4.6,116.67,58.33,13.51,0,0,0,484.8,0,0,0,0,0,116,0,0,0,0,0,0,NA,0,0,0,0,296.97,0,607.25,0,0,6.08,0,24.35,0,0,0,0,0,0,0
"81","81","THA","2010","WS",14.8792,100.0777,1,"2","0",NA,118,2,0,71.9,0,0,71.9,"2",4,2,2,"3",60,6.27,"2","0",11.2,11.2,4.5,4.5,58.33,0,1.67,0,0,0,269.69,0,0,0,0,0,55,0,0,0,0,0,0,NA,0,0,0,0,326.32,0,680.28,0,0,0,0,0.91,0,0,0,0,0,0,0
"82","82","THA","2010","WS",14.6256,100.0441,1,"2","0",NA,118,2,0,55,17.8,0,72.8,"2",4,2,2,"3",60,7.3,"2","0",9.9,9.9,4.4,4.4,0,0,0,0,0,0,731.23,0,0,0,0,0,12,0,0,0,0,0,0,NA,0,0,3.75,0,434.39,0,158.44,0,0,12.56,0,0,0,0,0,0,0,0,0
"83","83","THA","2010","WS",14.6256,100.0441,1,"2","0",NA,105,2,0,60.6,40.2,0,100.8,"2",4,2,2,"3",60,6.83,"2","0",9.2,9.2,4.4,4.4,116.67,0,0,0,0,0,1206.04,0,0,0,0,0,18,0,0,0,0,0,0,NA,0,0,4.69,0,416.91,0,276.15,0,0,21.92,0,0,0,0,0,0,0,0,0
"84","84","THA","2010","WS",14.6256,100.0441,1,"2","0",NA,109,2,0,101.9,37.5,0,139.4,"2",4,2,3,"3",60,5.77,"2","0",11.2,11.2,4.2,4.2,58.33,0,0,0,0,0,114.93,0,0,0,0,0,6,0,0,0,0,0,0,NA,0,0,4.17,0,727.24,0,672.78,0,0,4,0,0,0,0,0,0,0,0,0
"85","85","THA","2010","WS",14.6256,100.0441,1,"2","0",NA,99,2,0,53.8,31.3,0,85,"2",3,2,3,"3",60,5.9,"2","0",9.8,9.8,4.1,4.1,58.33,0,0,0,0,0,36.77,0,0,0,0,0,2,0,0,0,0,0,0,NA,0,0,5,0,488.48,0,256.39,0,0,5.24,0,1.11,0,0,0,0,0,0,0
"86","86","THA","2010","WS",14.6256,100.0441,1,"2","0",NA,99,2,0,53.8,31.3,0,85,"2",3,2,3,"3",60,5.93,"2","0",11.2,11.2,4.5,4.5,0,0,0,0,0,0,23.3,0,0,0,0,0,17,0,0,0,0,0,0,NA,0,0,0,0,986.71,0,971.38,0,0,16.1,0,0,0,0,0,0,0,0,0
"87","87","THA","2010","WS",14.6256,100.0441,1,"2","0",NA,101,2,0,53.8,31.3,0,85,"2",3,2,3,"3",60,6.17,"2","0",10.3,10.3,4.4,4.4,58.33,0,0,0,0,0,45.08,0,0,0,0,0,7,0,0,0,0,0,0,NA,0,0,0,0,363.11,0,167.69,0,0,23.08,0,0,0,0,0,0,0,0,0
"88","88","THA","2010","WS",14.6256,100.0441,1,"2","0",NA,101,2,0,53.8,31.3,0,85,"2",3,2,3,"3",60,6.3,"2","0",10.3,10.3,4.4,4.4,58.33,0,0,0,0,0,45.08,0,0,0,0,0,7,0,0,0,0,0,0,NA,0,0,0,0,363.11,0,167.69,0,0,23.08,0,0,0,0,0,0,0,0,0
"89","89","THA","2010","WS",14.6256,100.0441,1,"2","0",NA,121,2,0,53.8,31.3,0,85,"2",3,2,3,"3",60,6,"2","0",10.3,10.3,4.1,4.1,0,58.33,0,0,0,0,410.72,0,0,0,0,0,283,0,0,0,0,0,0,NA,0,0,0,0,498.63,0,432.75,0,0,32.96,0,0,0,0,0,0,0,0,0
"90","90","THA","2010","WS",14.6256,100.0441,1,"2","0",NA,104,2,0,53.8,31.3,0,85,"2",3,2,3,"3",60,6.23,"2","0",12.1,11.4,5,5,0,58.33,0,0,0,0,606.33,0,0,0,0,0,40,0,0,0,0,0,0,NA,0,0,0,0,287.67,0,745.2,0,0,15.73,0,0,0,0,0,0,0,0,0
"91","91","THA","2011","WS",13.7188,100.5253,1,"2","0",0,104,2,1,60.6,40.2,0,100.8,"3",4,2,2,"3",100,6.17,"2","0",12.4,12.4,4.4,4.4,116.67,0,0,0,0,0,1090.47,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,2.14,0,364.93,0,177.15,0,0,1.67,0,0,0,0,0,0,0,0,0
"92","92","THA","2011","WS",14.6686,100.257,1,"2","0",0,111,2,1,90.2,42.4,56.3,188.8,"3",1,1,1,"3",0,4.1,"2","0",13.2,10.9,4,4,0,116.67,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,572.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","93","THA","2011","WS",14.6684,100.257,1,"2","0",0,107,2,1,76.4,42.4,56.3,175,"3",1,2,1,"3",0,5,"2","0",16.2,16.2,4.7,4.7,0,116.67,0,0,0,0,201.75,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1158.55,0,61.06,0,0,0,0,0,0,0,27.6,0,0,0,0
"94","94","THA","2011","WS",14.6682,100.2573,1,"2","0",0,120,2,1,90.2,42.4,56.3,188.8,"3",1,2,1,"3",100,5.07,"1","0",12.9,11.3,4.2,4.2,58.33,0,0,0,0,0,168.09,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,778.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","95","THA","2011","WS",14.6684,100.2573,1,"2","0",0,107,2,1,116,42.4,56.3,214.7,"3",0,0,0,"3",0,5.24,"2","0",15,15,4.7,4.7,58.33,0,0,0,0,0,210.36,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,917.48,0,59.46,0,122.29,0,0,0,0,0,30.1,0,0,0,0
"96","96","THA","2011","WS",17.1194,100.1583,1,"2","0",0,102,2,1,70.8,27.5,12.5,110.8,"3",3,1,1,"3",100,6.67,"2","0",11,11,4.9,4.9,116.67,58.33,0,0,0,120.66,230.24,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,531.13,0,484.7,0,0,0,18.51,0,0,0,0,0,0,0,0
"97","97","THA","2011","WS",17.106,100.1628,1,"2","0",0,102,2,1,39.8,35,0,74.8,"3",1,1,1,"3",100,6.1,"2","0",11.9,11.8,4,4,175,175,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,NA,0,0,0,0,804.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","98","THA","2011","WS",17.0043,100.1744,1,"2","0",0,117,2,1,60.6,40.2,0,100.8,"3",1,2,1,"3",100,5.17,"2","0",9.3,9.3,4.4,4.4,0,58.33,0,0,0,0,1198.58,0,0,0,0,0,18,0,0,0,0,0,0,NA,0,0,0,0,410.56,0,270.8,0,0,0,0,0,0,0,0,0,0,0,0
"99","99","THA","2011","WS",17.0056,100.0532,1,"2","0",0,91,2,1,64.1,53.5,0,117.6,"3",1,2,2,"3",100,5.9,"2","0",14.8,11.2,4.5,4.5,175,0,0,0,0,158.48,137.54,0,0,0,0,0,47,0,0,0,0,0,0,NA,0,0,0,0,1525.54,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0
"100","100","THA","2011","WS",17.0835,100.0607,1,"2","0",0,114,2,1,60.6,40.2,0,100.8,"3",2,1,1,"3",100,5.23,"2","0",12.4,10.8,4.1,4.1,991.67,0,0,0,0,176.81,53.03,0,0,0,0,0,64,0,0,0,0,0,0,NA,0,0,0,0,1389.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","101","THA","2011","WS",16.9911,100.0544,1,"2","0",0,90,2,1,53.9,35,0,88.9,"3",2,1,1,"3",100,6.1,"2","0",9.9,9.9,4,4,350,0,0,0,0,190.05,0,0,0,0,0,0,45,0,0,0,0,0,0,NA,0,0,0,0,375.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","102","THA","2011","WS",14.7753,99.914,1,"2","0",0,115,2,1,118.8,78.1,56.3,253.1,"3",2,1,1,"3",100,6.3,"1","0",9,8,4.7,4.7,291.67,0,0,0,0,0,98.64,0,0,0,0,0,99,0,0,0,0,0,0,NA,0,0,0,0,661.59,0,199.43,0,0,0,0,0,0,0,0,0,0,0,0
"103","103","THA","2011","WS",14.7746,99.9151,1,"2","0",0,113,2,1,125.9,125,0,250.9,"3",2,1,1,"3",100,5.5,"2","0",13.4,13.4,4.2,4.2,116.67,0,0,0,0,0,1370.42,0,0,0,0,0,126,0,0,0,0,0,0,NA,0,0,0,0,357.72,0,248.26,0,0,0,0,0,0,0,0,0,0,0,0
"104","104","THA","2011","WS",14.9911,100.0914,1,"2","0",0,109,2,1,53.8,31.3,0,85,"3",3,2,1,"3",100,6,"2","0",10.3,10.3,4.4,4.4,58.33,0,0,0,0,0,45.08,0,0,0,0,0,7,0,0,0,0,0,0,NA,0,0,0,0,363.11,0,167.69,0,0,0,0,0,0,0,0,0,0,0,0
"105","105","THA","2011","WS",14.5598,100.1419,1,"2","0",0,102,2,1,60.6,40.2,0,100.8,"3",2,1,1,"3",100,6.17,"2","0",13,13,4.1,4.1,58.33,58.33,0,0,0,0,72.31,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,758.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","106","THA","2011","WS",14.3824,100.0743,1,"2","0",0,110,2,1,39.5,19.5,20.3,79.3,"2",3,3,1,"3",0,6.39,"2","0",9.4,8.2,4.7,4.7,141.67,83.33,5.11,0,0,0,84.39,0,0,0,0,0,24,0,0,0,0,0,0,NA,0,0,0,0,266.79,0,57.27,0,0,0,0,0,0,0,0,0,0,0,0
"107","107","THA","2011","WS",14.3824,100.0744,1,"2","0",0,104,2,1,18.2,11.1,11.6,40.9,"2",3,1,0,"3",0,5.87,"2","0",9.9,9.8,5.4,5.4,25,116.67,1.43,0,0,0,270.93,0,0,0,0,0,21,0,0,0,0,0,0,NA,0,0,0,0,68.69,0,17.22,0,0,0,0,0,0,0,0,0,0,0,0
"108","108","THA","2011","WS",14.3827,100.0742,1,"2","0",0,119,2,1,113.6,87.5,0,201.1,"3",2,1,1,"2",0,5.57,"2","0",10.5,9.4,4.9,4.9,0,0,2,0,0,0,72.1,0,0,0,0,0,44,0,0,0,0,0,0,NA,0,0,0,0,209.28,0,97.86,0,0,0,0,0,0,0,0,0,0,0,0
"109","109","THA","2011","WS",14.3833,100.074,1,"2","0",0,110,2,1,581.3,187.5,0,768.8,"3",4,2,1,"3",0,5.65,"2","0",11.2,11,4.6,4.6,58.33,0,1,0,0,0,341.37,0,0,0,0,0,32,0,0,0,0,0,0,NA,0,0,0,0,195.15,0,56.51,0,0,0,0,0,0,0,0,0,0,0,0
"110","110","THA","2011","WS",14.384,100.0736,1,"2","0",0,118,2,1,25.7,10.5,20.7,56.8,"3",4,2,2,"3",0,4.92,"2","0",11.1,9.9,5.2,5.2,0,0,4.56,0,0,0,207.83,0,0,0,0,0,48,0,0,0,0,0,0,NA,0,0,0,0,162.37,0,52.83,0,0,4.04,0,0,0,0,0,0,0,0,0
"111","111","THA","2011","WS",14.3839,100.0732,1,"2","0",0,110,2,1,103.8,31.3,0,135.1,"3",3,2,1,"3",0,7.4,"2","0",9.8,8.5,4.9,4.9,0,1108.33,0,0,0,0,442.9,0,0,0,0,0,17,0,0,0,0,0,0,NA,0,0,0,0,579.14,0,220.26,0,0,0,0,0,0,0,0,0,0,0,0
"112","112","THA","2011","WS",14.3838,100.0731,1,"2","0",0,110,2,1,97.5,68.8,22.5,188.8,"3",4,3,3,"4",0,7.57,"2","0",10.5,9,4.9,4.9,350,0,0,1.67,0,0,363.57,0,0,0,0,0,3,0,0,0,0,0,0,NA,0,0,0,0,345.51,0,15.69,0,0,0,0,0,0,0,0,0,0,0,0
"113","113","THA","2011","WS",14.3836,100.0726,1,"2","0",0,109,2,1,91.1,51.8,10.7,153.6,"3",4,3,0,"3",0,6.9,"2","0",11.4,11.4,5,5,58.33,58.33,0,0.91,0,0,251.66,0,0,0,0,0,73,0,0,0,0,0,0,NA,0,0,0,0,303.09,0,44.88,0,0,0,0,0,0,0,0,0,0,0,0
"114","114","THA","2011","WS",14.3831,100.0711,1,"2","0",0,142,2,1,120.3,39.1,31.3,190.6,"3",5,3,1,"3",0,6.38,"2","0",9.7,9.7,5,5,175,0,5,1.11,0,0,149.36,0,0,0,0,0,14,0,0,0,0,0,0,NA,0,0,0,0,452.35,0,115.03,0,0,0,0,0,0,0,0,0,0,0,0
"115","115","THA","2011","WS",14.3826,100.0701,1,"2","0",0,119,2,1,72.5,48.8,4,125.3,"3",2,3,2,"3",0,5.56,"2","0",10.1,9.2,4.7,4.7,58.33,58.33,4,0,0,0,288.65,0,0,0,0,0,49,0,0,0,0,0,0,NA,0,0,0,0,265.04,0,79.48,0,0,17.74,1.43,0,0,0,0,0,0,0,0
"116","116","THA","2011","WS",14.3825,100.0659,1,"2","0",0,110,2,1,75.8,62.4,0,138.2,"3",0,3,2,"3",0,6.58,"2","0",9.7,9.5,4.9,4.9,58.33,58.33,0.83,0,0,0,719.18,0,0,0,0,0,28,0,0,0,0,3,0,NA,0,0,0,0,236.3,0,188.28,0,0,0,0,0,0,0,0,0,0,0,0
"117","117","THA","2011","WS",14.3822,100.065,1,"2","0",0,110,2,1,93.3,73.6,20.1,187,"3",5,4,1,"3",0,6.44,"2","0",11,9.9,4.6,4.6,58.33,116.67,0,0,0,0,287.26,0,0,0,0,0,11,0,0,0,0,0,0,NA,0,0,0,0,284.35,0,347.71,0,0,0.91,0,0,0,0,0,0,0,0,0
"118","118","THA","2011","WS",14.3819,100.0638,1,"2","0",0,119,2,1,129.6,37.5,0,167.1,"3",4,4,2,"3",0,5.25,"2","0",10.4,9.7,4.3,4.3,116.67,175,0,0,0,0,180.75,0,0,0,0,0,78,0,0,0,0,0,0,NA,0,0,0,0,290.25,0,112.37,0,0,14.2,0,0,0,0,0,0,0,0,0
"119","119","THA","2011","WS",14.3827,100.0719,1,"2","0",0,119,2,1,62.5,13.9,55.6,131.9,"3",6,3,2,"3",0,5.93,"2","0",10.7,10.1,4.6,4.6,58.33,58.33,0,0,0,0,498.84,0,0,0,0,0,21,0,0,0,0,0,0,NA,0,0,0,0,296.3,0,128.08,0,0,21.15,0,0,0,0,0,0,0,0,0
"120","120","THA","2011","WS",14.3826,100.0717,0,"2","0",0,105,2,1,120.3,39.1,31.3,190.6,"3",4,3,1,"3",0,6.99,"2","0",11.2,9.9,4.9,4.9,10,0,0,0,0,0,255.48,0,0,0,0,0,39,0,0,0,0,2,0,NA,0,0,0,0,241.68,0,193.4,0,0,0.77,0,0,0,0,0,0,0,0,0
"121","121","THA","2011","WS",14.3814,100.0722,1,"2","0",0,118,2,1,16.6,20.8,0,37.4,"3",5,1,1,"3",0,6.83,"2","0",9.8,9.1,4.7,4.7,5,0,0,0,0,0,111.58,0,0,0,0,0,31,0,0,0,0,1,0,NA,0,0,0,0,371.68,0,174.12,0,0,2.22,0,0,0,0,0,0,0,0,0
"122","122","THA","2011","WS",14.3815,100.0726,1,"2","0",0,118,2,1,93.8,46.9,46.9,187.5,"3",2,5,1,"3",0,6.41,"2","0",9.8,7.8,4.8,4.8,58.33,58.33,0,0,0,0,64.32,0,0,0,0,0,28,0,0,0,0,0,0,NA,0,0,0,0,367.61,0,243.91,0,0,0,0,0,0,0,0,0,0,0,0
"123","123","THA","2011","WS",14.3816,100.0728,1,"2","0",0,114,2,1,78.2,36.8,21,136,"3",4,3,0,"3",0,6.31,"2","0",9.4,9.4,4.6,4.6,175,0,1.11,0,0,0,198.27,0,0,0,0,0,23,0,0,0,0,0,0,NA,0,0,0,0,239.03,0,177.34,0,0,0,0,0,0,0,0,0,0,0,0
"124","124","THA","2011","WS",14.3816,100.0729,1,"2","0",0,99,2,1,68.3,25.8,0,94.1,"3",4,2,0,"3",0,8.1,"2","0",11.8,11.7,5.1,5.1,116.67,58.33,0,0,0,0,89.62,0,0,0,0,0,17,0,0,0,0,0,0,NA,0,0,0,0,525.76,0,56.52,0,0,0,0,0,0,0,0,0,0,0,0
"125","125","THA","2011","WS",14.3818,100.0733,1,"2","0",0,110,2,1,96.2,39.1,31.3,166.5,"3",5,2,0,"3",0,7.04,"2","0",10.2,10,4.6,4.6,0,58.33,0,0,0,0,563.7,0,0,0,0,0,16,0,0,0,0,0,0,NA,0,0,0,0,392.07,0,67.44,0,0,0,0,0,0,0,0,0,0,0,0
"126","126","THA","2011","WS",14.382,100.0739,1,"2","0",0,108,2,1,88.1,56.3,0,144.4,"3",3,4,1,"3",0,5.94,"2","0",10.4,8.2,4.9,4.9,175,58.33,2.86,0,0,0,214.45,0,0,0,0,0,16,0,0,0,0,0,0,NA,0,0,0,0,403.38,0,237.66,0,0,0,0,0,0,0,0,0,0,0,0
"127","127","THA","2011","WS",14.381,100.0728,1,"2","0",0,110,2,1,59.1,39.8,0,98.9,"3",6,2,3,"3",0,6.78,"2","0",10.2,10.2,4.5,4.5,0,0,0,3.64,0,0,170.25,0,0,0,0,0,13,0,0,0,0,0,0,NA,0,0,0,0,331.35,0,212.4,0,0,2,0,0,0,0,0,0,0,0,0
"128","128","THA","2011","WS",14.3811,100.0719,1,"2","0",0,118,2,1,62.5,21.9,21.9,106.3,"3",6,3,0,"3",0,5.41,"2","0",12,9.4,4.1,4.1,58.33,175,2.5,0,0,0,829.82,0,0,0,0,0,88,0,0,0,0,0,0,NA,0,0,0,0,555.32,0,104.87,0,0,20.71,0,0,0,0,0,0,0,0,0
"129","129","THA","2011","WS",14.3859,100.0713,1,"2","0",0,119,2,1,0,0,0,0,"3",1,2,2,"3",0,5.85,"2","0",11.7,10.4,5,5,0,175,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,NA,0,0,0,0,159.96,0,15.63,0,0,0.56,0,0,0,0,0,0,0,0,0
"130","130","THA","2011","WS",14.3856,100.0714,1,"2","0",0,110,2,1,67.5,15,19,101.5,"3",4,2,0,"3",0,7.01,"2","0",10.2,10.2,4.5,4.5,5,175,0,0,0,0,144.19,0,0,0,0,0,17,0,0,0,0,1,0,NA,0,0,0,0,65.78,0,37.43,0,0,0,0,0,0,0,0,0,0,0,0
"131","131","THA","2011","WS",14.3747,100.0715,1,"2","0",0,119,2,1,96.9,31.3,0,128.1,"3",2,2,0,"3",0,6.52,"2","0",10.4,10,4.6,4.6,0,116.67,0,0,0,0,49.58,0,0,0,0,0,21,0,0,0,0,2,0,NA,0,0,0,0,226.8,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0
"132","132","THA","2011","WS",14.3744,100.0715,1,"2","0",0,90,2,1,85.5,49.8,23.7,158.9,"3",5,3,0,"3",0,6.78,"2","0",11.2,10.8,5,5,0,116.67,1,0,0,0,424.95,0,0,0,0,0,61,0,0,0,0,0,0,NA,0,0,0,0,243.73,0,106.91,0,0,2,0,0,0,0,0,0,0,0,0
"133","133","THA","2011","WS",14.3743,100.0713,1,"2","0",0,118,2,1,70.4,48.5,0,118.9,"3",5,3,1,"3",0,6.78,"2","0",10.5,8.3,4.2,4.2,116.67,0,0,0,0,0,269.92,0,0,0,0,0,127,0,0,0,0,0,0,NA,0,0,0,0,283.03,0,121.97,0,0,19.72,2.73,0,0,0,0,0,0,0,0
"134","134","THA","2011","WS",14.3742,100.071,1,"2","0",0,119,2,1,58.8,68.8,18.8,146.3,"3",5,2,1,"3",0,6.42,"2","0",10.3,6.7,4.3,4.3,175,0,0.77,0,0,0,331.72,0,0,0,0,0,62,0,0,0,0,2,0,NA,0,0,0,0,333.79,0,94.07,0,0,0,0,0,0,0,0,0,0,0,0
"135","135","THA","2011","WS",14.3749,100.0718,1,"2","0",0,116,2,1,64.4,62.5,0,126.9,"3",3,2,1,"3",0,7.01,"2","0",10,8.3,4.9,4.9,58.33,116.67,2.5,0,0,0,72.39,0,0,0,0,0,222,0,0,0,0,4,0,NA,0,0,0,0,283.25,0,143.23,0,0,0,0,0,0,0,0,0,0,0,0
"136","136","IDN","2010","WS",-6.3805,107.5342,1,"1","21",0,92,2,0,69,36,60,165,"1",4,0,1,"4",0,5.5,"0","0",18,15.4,3.3,3.3,10,0,0,4.83,1,76.78,53.07,0,0,0,0,0,25,0,0,0,0,1,0,NA,0,0,205.99,14.14,0,85.75,269.92,0,0,6.64,1.21,0,1.21,3.48,0,0,0,0,0
"137","137","IDN","2010","WS",-6.3417,107.6557,1,"1","21",0,96,2,0,69,36,30,135,"1",4,0,1,"3",0,3.5,"2","0",19.6,6.2,3.2,3.2,0,300,6.01,6.67,0,144.04,129.33,0,0,0,0,0,203,0,0,0,0,1,0,NA,0,0,103.27,0,0,0,102.72,1.06,0,3.62,3.62,0,0,0,0,40,0,0,0
"138","138","IDN","2010","WS",-6.7983,107.1826,1,"1","18",0,99,2,0,69,36,30,135,"1",2,0,1,"3",0,3.5,"1","0",19,17.8,3.6,3.6,0,0,1.11,1.81,0,54.09,58.15,0,0,0,0,0,85,0,0,0,0,0,0,NA,0,0,2.08,17.81,0,8.33,27.01,0,0,1.5,1.61,0,0,0,0,0,0,0,0
"139","139","IDN","2010","WS",-6.5517,107.4632,1,"1","22",0,104,2,0,69,18,30,117,"1",3,0,0,"4",0,5.43,"2","0",21,12.8,3.8,3.8,0,300,0,0,2.38,60.71,27.5,0,0,0,0,0,3,2,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","140","IDN","2010","WS",-6.5192,107.4493,1,"1","22",0,98,2,0,69,18,0,87,"1",1,0,1,"4",0,5.6,"0","0",19,14,3.3,3.3,0,0,1,0,0,51.02,38.66,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","141","IDN","2010","WS",-6.3803,107.5054,1,"1","21",0,101,2,0,69,36,0,105,"1",2,0,1,"2",0,2.08,"0","0",19.6,18.1,3.4,3.4,0,75,3.22,3.47,4.14,82.77,56.8,0,0,0,0,0,420,0,0,0,0,0,0,NA,0,0,90.27,0,0,76.8,116.95,0,0,6.07,21.05,0,0,0,0,0,0,0,0.45
"142","142","IDN","2010","WS",-6.5147,107.7943,1,"1","20",0,95,2,1,46,14.4,18,78.4,"1",3,0,0,"3",0,6,"1","0",32.2,9,3.8,3.8,66.67,125,0,0,0,4.45,179.48,0,0,0,0,0,0,0,0,0,0,19,0,NA,0,0,190.56,0,4.84,0,114.7,0,2,2.08,0,0,0,0,0,0,0,0,0
"143","143","IDN","2010","WS",-6.387,107.6769,1,"1","25",0,65,2,1,41.4,10.8,24,76.2,"1",2,0,0,"3",0,5.7,"1","0",23.9,17.5,3.5,3.5,0,75,0.85,0,1.22,25.92,21.81,0,0,0,0,0,2,0,0,0,0,0,0,NA,0,0,41.38,0,1175,266.3,29.12,0,0,1.67,0,0,0,0,0,0,0,0,0
"144","144","IDN","2010","WS",-6.5128,107.613,1,"1","25",NA,80,2,1,39.7,7.5,7.5,54.7,"1",2,0,0,"1",0,0.37,"1","0",NA,NA,NA,NA,0,166.67,NA,NA,NA,NA,NA,0,0,0,0,NA,87,0,0,0,NA,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,0,NA
"145","145","IDN","2010","WS",-7.1991,107.9172,1,"1","21",0,122,2,1,36.8,10.4,0,47.2,"1",3,0,0,"4",0,6.07,"1","0",31.7,27.2,3.8,3.8,0,0,0,0,0,20.72,15.22,0,0,0,0,2.69,4,7,0,0,0,0,0,NA,0,0,382.5,21.25,6,6.82,57.25,0,0,2.52,0,0,0,0,0,0,0,0,0
"146","146","IDN","2010","WS",-6.6362,107.4035,1,"1","17",NA,122,2,1,42.3,0,10.8,53.1,"1",3,0,1,"1",0,1.27,"0","0",NA,5.9,NA,NA,75,300,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,90,0,NA
"147","147","IDN","2010","WS",-6.6653,107.5457,0,"1","23",0,95,2,1,46,18,24,88,"1",2,0,0,"4",0,5.87,"0","0",24.5,17.8,4,4,0,333.33,0,2.13,0,304.49,404.67,0,0,0,0,10.87,0,0,0,0,0,0,0,NA,0,0,168.49,12.99,0,0,43.8,0,0,0.91,0,0,0,0,0,0,0,0,0
"148","148","IDN","2010","WS",-6.6088,107.4842,1,"1","23",0,96,2,0,78.2,0,36,114.2,"1",1,0,1,"3",0,4,"1","0",22.6,18.5,3.9,3.9,0,0,1.29,0,0,266.47,223.3,0,0,0,0,17.71,4,0,0,0,0,0,0,NA,0,0,63.91,0,0,103.73,0,0,0,0.82,0,0,0,0,0,0,0,0,0
